merge,left,right,distance,height
833,2068,2161,1.265294190200486,1.2826318421073755
834,1287,1320,1.2118357637763244,1.282989191531615
835,950,951,1.2630374521138235,1.2830083848468303
836,673,1040,1.2830130353895834,1.2830130353895834
837,2136,2137,1.2524092428454159,1.2832379153915134
838,177,189,1.2833344376706983,1.2833344376706983
839,480,485,1.2770541675820872,1.2833900260397937
840,395,401,1.267657596637565,1.283446120730662
841,1394,1470,1.2675938693789413,1.2837217079396943
842,2056,2062,1.2718933072526233,1.283945327556223
843,890,939,1.2839571326050374,1.2839571326050374
844,921,988,1.225681817751797,1.2839702114818323
845,745,818,1.2839968688371775,1.2839968688371775
846,929,934,1.2393491818522437,1.2840050958170472
847,847,848,1.284076337612499,1.284076337612499
848,634,637,1.2260563958131316,1.2840973139470835
849,1627,1628,1.279256267774154,1.284120102773567
850,1336,1491,1.2739174409115,1.2844243094757524
851,1656,1658,1.1992592668458508,1.284574380334093
852,1724,1728,1.2324654512136946,1.2846091986976313
853,240,267,1.2537189575378518,1.284712630102124
854,1982,1989,1.194086193176479,1.2847627909288861
855,760,761,1.202162875084443,1.284857125439608
856,1551,1557,1.2825556438579337,1.2849793176909845
857,2165,2223,1.2850428140780394,1.2850428140780394
858,423,425,1.1908951643688075,1.2852981425847867
859,1102,1106,1.2854298627201681,1.2854298627201681
860,625,630,1.2842087746432624,1.285520149902418
861,1004,1024,1.280126747551163,1.285623168821395
862,1062,1065,1.2546308777707427,1.2857555445164204
863,833,835,1.2857870349788607,1.2857870349788607
864,1047,1561,1.2858663931188117,1.2858663931188117
865,1148,1149,1.2683416244019108,1.285926356186311
866,452,453,1.2835166403231388,1.2860671968437312
867,1662,1663,1.2653916336038258,1.2862932661928514
868,192,193,1.2858101816089549,1.2869202515040412
869,1114,1118,1.2456488897207703,1.28698854023007
870,1459,1463,1.244894334777818,1.2870272353014722
871,1711,1714,1.2056838181661715,1.2871245709614347
872,208,210,1.2630239870393345,1.287134263751918
873,1216,1218,1.2702643144524808,1.2871420664827702
874,162,164,1.2799905665043538,1.2871682957946238
875,944,945,1.2327896852923728,1.2871989531379335
876,339,370,1.23336895517596,1.287222281533787
877,827,830,1.284705291915166,1.2874578422517338
878,1473,1474,1.2402408148869983,1.2874696540953576
879,1383,1384,1.2875086684867696,1.2875086684867696
880,212,213,1.287521877497239,1.287521877497239
881,1953,1956,1.23626811151037,1.2876012256650142
882,1573,1574,1.2515942214783902,1.287793676054474
883,971,974,1.28042231022308,1.2878028474609713
884,1281,1490,1.2209515916348397,1.2878111642794763
885,472,476,1.2347229714905823,1.2878865096645977
886,450,2071,1.257650060020429,1.2878898952538718
887,381,405,1.2878982773453491,1.2878982773453491
888,1605,1619,1.2109653483192382,1.2880102687002033
889,541,545,1.2741243491680312,1.2880151145926626
890,141,143,1.2129439365433512,1.2881349358586032
891,1088,1090,1.1838374417272737,1.2881631239707867
892,723,730,1.2415599415394232,1.2882274896910042
893,1783,1803,1.2883207706791304,1.2883207706791304
894,510,511,1.28842307244377,1.28842307244377
895,137,166,1.2887860131748419,1.2887860131748419
896,1444,1445,1.2756217638288176,1.2888337557928353
897,1402,1527,1.2495135107734705,1.2889064470415388
898,1640,1644,1.2858432475005885,1.2889274707995058
899,1544,1565,1.2086880783511933,1.2889355682228794
900,175,184,1.240717232773319,1.2889530429414569
901,1837,1839,1.2496530130645171,1.2891197704759958
902,1317,1318,1.2892411943243434,1.2892411943243434
903,1723,1731,1.277912839159932,1.2893576263115125
904,182,195,1.2893665058448507,1.2893665058448507
905,148,149,1.2895610443382783,1.2895610443382783
906,1562,1563,1.289594014055756,1.289594014055756
907,1074,1081,1.2110109904735058,1.2895968678839633
908,1683,1684,1.1645230549792618,1.2896297057408614
909,1578,1580,1.2901016413050412,1.2901016413050412
910,60,564,1.2901378927513625,1.2901378927513625
911,636,646,1.2902993640933076,1.2902993640933076
912,1888,1894,1.2903520850532857,1.2903520850532857
913,2102,2106,1.2275466379324744,1.2903582449800153
914,308,318,1.2308982672088256,1.2903719686999024
915,1764,1835,1.2903751497959366,1.2903751497959366
916,1862,1863,1.2706290958890125,1.290734131060523
917,1420,1421,1.2908956443593154,1.2908956443593154
918,2144,2148,1.2912150845454933,1.2912150845454933
919,770,771,1.2912743534130597,1.2912743534130597
920,857,880,1.2374128155916595,1.2914180163078162
921,286,293,1.2175865500253864,1.2915741232387234
922,1450,1453,1.2559992092375867,1.2915777766603533
923,499,514,1.2921334464897258,1.2921334464897258
924,1784,1787,1.238827622210218,1.2921364304407845
925,2011,2013,1.280880463550274,1.292546317422845
926,2016,2017,1.2817929619399984,1.2925822733582795
927,1233,1483,1.255254263209699,1.2927763399692251
928,1549,1639,1.2032269536711762,1.2927870252205196
929,1737,1739,1.2750150059140963,1.292909246606111
930,1171,1172,1.2548104716362123,1.293076926885928
931,887,888,1.2722442541339587,1.293080563922084
932,666,676,1.2930807488820075,1.2930807488820075
933,32,40,1.2483833082646303,1.293080766179757
934,1278,1286,1.2416900650673968,1.2931824698750995
935,647,740,1.2523107892712462,1.2932529382175655
936,1196,1204,1.2309984333284687,1.2933008066556586
